Hicaz	null	[0.0, 132.21964, 380.16907, 498.04507, 701.95496, 792.18024, 867.79205, 996.09015, 1200.0]
Huseyni	null	[0.0, 155.56235, 294.13516, 498.04507, 701.95496, 792.18024, 867.79205, 996.09015, 1200.0]
Huzzam	null	[0.0, 111.73132, 315.6412, 466.27814, 609.77637, 701.95496, 813.6863, 1017.5961, 1105.8663, 1173.1584, 1200.0]
Kurdilihicazkar	null	[0.0, 84.36, 142.37343, 292.18008, 386.31372, 498.04507, 701.95496, 788.2701, 996.09015, 1088.2687, 1200.0]
Nihavend	null	[0.0, 203.90988, 292.18008, 498.04507, 701.95496, 788.2701, 996.09015, 1088.2687, 1200.0]
Rast	null	[0.0, 203.90988, 359.47223, 386.31372, 498.04507, 701.95496, 905.86487, 996.09015, 1071.7019, 1088.2687, 1200.0]
Saba	null	[0.0, 155.56235, 182.40387, 294.13516, 427.37253, 492.18027, 701.95496, 792.18024, 996.09015, 1080.4501, 1138.4635, 1200.0]
Segah	null	[0.0, 111.73132, 244.96869, 315.6412, 519.5511, 609.77637, 701.95496, 813.6863, 1017.5961, 1105.8663, 1200.0]
Ussak	null	[0.0, 132.21964, 155.56235, 294.13516, 492.18027, 701.95496, 792.18024, 867.79205, 996.09015, 1200.0]
