Hicaz	null	[0.0, 123.59276, 420.59778, 497.61282, 701.9547, 791.9095, 884.7057, 996.3057, 1200.0]
Huseyni	null	[0.0, 157.11714, 180.67155, 293.86417, 497.61282, 701.9547, 791.9095, 884.7057, 996.3057, 1200.0]
Huzzam	null	[0.0, 112.27223, 315.64075, 440.84604, 701.9547, 813.6861, 1017.5955, 1111.2, 1200.0]
Kurdilihicazkar	null	[0.0, 89.40657, 293.86417, 497.61282, 701.9547, 791.9095, 996.3057, 1200.0]
Nihavend	null	[0.0, 203.91013, 293.86417, 497.61282, 701.9547, 791.9095, 996.3057, 1088.2687, 1200.0]
Rast	null	[0.0, 203.91013, 386.314, 497.61282, 701.9547, 884.7057, 996.3057, 1088.2687, 1200.0]
Saba	null	[0.0, 180.67155, 293.86417, 475.39246, 678.7178, 791.9095, 996.3057, 1200.0]
Segah	null	[0.0, 112.27223, 315.64075, 497.61282, 611.9389, 701.9547, 813.6861, 1017.5955, 1111.2, 1200.0]
Ussak	null	[0.0, 157.11714, 180.67155, 293.86417, 497.61282, 701.9547, 791.9095, 884.7057, 996.3057, 1200.0]
