Rast	9.00602	15.87669	17.06219	21.99699	31.00301	40.00903	43.99398	47.3335	48.0652	53	
Nihavend	9.00602	12.90462	21.99699	31.00301	34.81526	43.99398	48.0652	53			
Kurdilihicazkar	3.7259	6.28816	12.90462	17.06219	21.99699	31.00301	34.81526	43.99398	48.0652	53	
Ussak	5.8397	6.87067	12.99097	21.73796	31.00301	34.98796	38.32748	43.99398	53		
Huseyni	6.87067	12.99097	21.99699	31.00301	34.98796	38.32748	43.99398	53			
Hicaz	5.8397	16.7908	21.99699	31.00301	34.98796	38.32748	43.99398	53			
Saba	6.87067	8.05617	12.99097	18.87562	21.73796	31.00301	34.98796	43.99398	47.71988	50.28214	53
Segah	4.9348	10.81945	13.94082	22.94684	26.93179	31.00301	35.93781	44.94383	48.84243	53	
Huzzam	4.9348	13.94082	20.59395	26.93179	31.00301	35.93781	44.94383	48.84243	51.8145	53	
